Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-09-04,142.553,142.553,142.553,142.553,8588133.7305733
1987-09-07,141.373,141.373,141.373,141.373,10149612.045081
1987-09-08,140.623,140.623,140.623,140.623,16135279.250778
1987-09-09,138.314,138.314,138.314,138.314,19258239.880838
1987-09-10,139.083,139.083,139.083,139.083,3643450.7341985
1987-09-11,138.893,138.893,138.893,138.893,16655772.355701
1987-09-14,138.733,138.733,138.733,138.733,5725422.1536283
1987-09-16,139.873,139.873,139.873,139.873,19518485.933169
1987-09-17,143.693,143.693,143.693,143.693,25894527.21867
1987-09-18,144.852,144.852,144.852,144.852,25504153.138866
1987-09-21,143.513,143.513,143.513,143.513,13272569.674356
1987-09-22,143.133,143.133,143.133,143.133,26024648.244312
1987-09-23,144.492,144.492,144.492,144.492,22901689.614775
1987-09-24,141.573,141.573,141.573,141.573,10930351.202334
1987-09-25,143.693,143.693,143.693,143.693,12491830.517102
1987-09-28,144.652,144.652,144.652,144.652,10409858.097411
1987-09-29,144.852,144.852,144.852,144.852,5985667.2056974
1987-09-30,145.642,145.642,145.642,145.642,14834046.988601
1987-10-01,144.492,144.492,144.492,144.492,11190598.254926
1987-10-02,144.112,144.112,144.112,144.112,7026656.4163279
1987-10-05,144.262,144.262,144.262,144.262,8327888.6785042
1987-10-06,142.923,142.923,142.923,142.923,4944682.9963749
1987-10-07,141.773,141.773,141.773,141.773,7547148.5209892
1987-10-08,141.003,141.003,141.003,141.003,14313553.883679
1987-10-09,139.473,139.473,139.473,139.473,18997992.828246
1987-10-12,139.083,139.083,139.083,139.083,10149612.045081
1987-10-14,134.885,134.885,134.885,134.885,20819720.195869
1987-10-15,134.105,134.105,134.105,134.105,28627114.769188
1987-10-16,134.495,134.495,134.495,134.495,7237453.5381455
1987-10-19,121.429,121.429,121.429,121.429,39036970.866076
1987-10-20,109.501,109.501,109.501,109.501,98893660.927759
1987-10-21,114.13,114.13,114.13,114.13,87182575.569479
1987-10-22,108.542,108.542,108.542,108.542,85100594.147433
1987-10-23,110.271,110.271,110.271,110.271,70266550.159616
1987-10-26,102.223,102.223,102.223,102.223,52049295.488363
1987-10-27,99.5039,99.5039,99.5039,99.5039,5204929.0487055
1987-10-28,97.6145,97.6145,97.6145,97.6145,36434505.341462
1987-10-29,99.5039,99.5039,99.5039,99.5039,59856690.061683
1987-10-30,102.593,102.593,102.593,102.593,185555730.38891
1987-11-02,98.7571,98.7571,98.7571,98.7571,33571794.764778
1987-11-03,95.684,95.684,95.684,95.684,42810544.626439
1987-11-04,94.5192,94.5192,94.5192,94.5192,72869015.68423
1987-11-05,96.4418,96.4418,96.4418,96.4418,36434505.341462
1987-11-06,94.5192,94.5192,94.5192,94.5192,31229575.292494
1987-11-09,92.4108,92.4108,92.4108,92.4108,28366864.715811
1987-11-10,94.9042,94.9042,94.9042,94.9042,36434505.341462
1987-11-11,96.4418,96.4418,96.4418,96.4418,11971335.411656
1987-11-12,98.3563,98.3563,98.3563,98.3563,33832038.816586
1987-11-13,94.9042,94.9042,94.9042,94.9042,28627114.769188
1987-11-16,96.0589,96.0589,96.0589,96.0589,16655772.355701
1987-11-17,98.9441,98.9441,98.9441,98.9441,30969332.240948
1987-11-18,98.3563,98.3563,98.3563,98.3563,65061622.111173
1987-11-19,96.0589,96.0589,96.0589,96.0589,39036970.866076
1987-11-20,96.8187,96.8187,96.8187,96.8187,31229575.292494
1987-11-23,96.4418,96.4418,96.4418,96.4418,9629116.9396343
1987-11-24,97.9843,97.9843,97.9843,97.9843,13662938.752852
1987-11-25,97.6145,97.6145,97.6145,97.6145,10670108.150788
1987-11-27,96.4418,96.4418,96.4418,96.4418,14573802.936794
1987-11-30,93.7664,93.7664,93.7664,93.7664,17176268.461408
1987-12-01,92.2309,92.2309,92.2309,92.2309,33832038.816586
1987-12-02,89.9265,89.9265,89.9265,89.9265,39036970.866076
1987-12-03,91.0602,91.0602,91.0602,91.0602,21340210.300007
1987-12-04,92.9867,92.9867,92.9867,92.9867,33832038.816586
1987-12-07,94.1404,94.1404,94.1404,94.1404,13793062.779279
1987-12-09,96.0589,96.0589,96.0589,96.0589,9889366.9930112
1987-12-10,94.1404,94.1404,94.1404,94.1404,23422185.720483
